date,NO,NO2,NOXasNO2,PM10,wd,ws,temp,site,code
1420070400.0,1.2473,3.825,5.7375,12.932,229.9,8.2,7.1,Aberdeen Anderson Dr,1
1420074000.0,,,,5.112,230.0,7.8,6.6,Aberdeen Anderson Dr,1
1420077600.0,1.2473,3.825,5.7375,6.136,234.6,9.1,6.7,Aberdeen Anderson Dr,1
1420081200.0,1.2473,5.7375,7.65,5.372,236.4,9.5,6.9,Aberdeen Anderson Dr,1
1420084800.0,0.0,3.825,3.825,8.645,226.1,8.9,7.0,Aberdeen Anderson Dr,1
1420088400.0,1.2473,1.9125,3.825,10.639,220.5,9.0,7.0,Aberdeen Anderson Dr,1
1420092000.0,0.0,3.825,3.825,7.763,213.2,9.4,7.7,Aberdeen Anderson Dr,1
1420095600.0,1.2473,7.65,9.5625,8.215,211.4,9.0,7.9,Aberdeen Anderson Dr,1
1420099200.0,1.2473,7.65,9.5625,11.953,204.9,7.7,8.0,Aberdeen Anderson Dr,1
1420102800.0,2.4946,9.5625,13.3875,9.453,200.3,7.3,8.2,Aberdeen Anderson Dr,1
1420106400.0,2.4946,9.5625,13.3875,10.674,205.8,7.0,8.3,Aberdeen Anderson Dr,1
1420110000.0,2.4946,9.5625,13.3875,15.675,211.2,5.8,7.8,Aberdeen Anderson Dr,1
1420113600.0,1.2473,7.65,9.5625,18.695,217.5,5.8,8.4,Aberdeen Anderson Dr,1
1420117200.0,1.2473,9.5625,11.475,12.671,213.2,6.3,8.9,Aberdeen Anderson Dr,1
1420120800.0,3.7419,15.3,21.0375,6.013,203.2,5.7,9.1,Aberdeen Anderson Dr,1
1420124400.0,1.2473,7.65,9.5625,5.276,193.4,5.8,8.5,Aberdeen Anderson Dr,1
1420128000.0,1.2473,3.825,5.7375,6.752,208.8,7.2,9.3,Aberdeen Anderson Dr,1
1420131600.0,1.2473,3.825,5.7375,7.487,208.8,7.0,9.7,Aberdeen Anderson Dr,1
1420135200.0,1.2473,5.7375,7.65,7.48,227.3,10.2,11.0,Aberdeen Anderson Dr,1
1420138800.0,2.4946,7.65,11.475,5.162,229.1,12.5,11.6,Aberdeen Anderson Dr,1
1420142400.0,3.7419,13.3875,19.125,6.711,245.2,12.1,11.6,Aberdeen Anderson Dr,1
1420146000.0,3.7419,9.5625,15.3,6.33,247.9,14.2,10.6,Aberdeen Anderson Dr,1
1420149600.0,2.4946,7.65,11.475,4.857,264.8,14.0,8.6,Aberdeen Anderson Dr,1
1420153200.0,2.4946,7.65,11.475,2.685,267.0,13.5,7.1,Aberdeen Anderson Dr,1
1420156800.0,1.2473,3.825,5.7375,-2.154,277.2,9.0,5.3,Aberdeen Anderson Dr,1
1420160400.0,,,,1.255,286.8,11.0,4.6,Aberdeen Anderson Dr,1
1420164000.0,0.0,1.9125,1.9125,0.61,284.3,9.5,3.8,Aberdeen Anderson Dr,1
