date,O3,NO,NO2,NOXasNO2,PM10,NV10,V10,PM2.5,NV2.5,V2.5,wd,ws,temp,AT10,AT2.5,AP2.5,site,code
1420070400.0,62.79803,1.46766,9.19275,11.44313,12.6,12.2,0.4,11.4,9.0,2.4,229.9,8.2,7.1,10.1,13.1,999435.0,Aberdeen,1
1420074000.0,67.45466,0.85939,9.21379,10.5315,5.3,3.4,1.9,11.4,8.0,3.4,230.0,7.8,6.6,9.7,12.6,999600.0,Aberdeen,1
1420077600.0,70.94714,0.64454,6.99593,7.98421,4.2,0.0,4.2,5.8,0.3,5.5,234.6,9.1,6.7,9.0,11.9,999017.0,Aberdeen,1
1420081200.0,74.78886,0.83226,3.97561,5.25173,-2.3,0.6,-2.9,2.0,1.4,0.6,236.4,9.5,6.9,9.4,12.4,999050.0,Aberdeen,1
1420084800.0,75.13811,0.96635,3.72698,5.20869,3.3,1.7,1.6,1.3,0.8,0.5,226.1,8.9,7.0,9.6,12.6,999000.0,Aberdeen,1
1420088400.0,71.59574,0.48302,2.8458,3.58642,8.8,3.9,4.9,-3.3,-0.9,-2.4,220.5,9.0,7.0,9.7,12.6,998265.0,Aberdeen,1
1420092000.0,65.55875,0.64423,6.44178,7.42958,5.6,2.5,3.1,5.3,3.7,1.6,213.2,9.4,7.7,9.3,12.3,998000.0,Aberdeen,1
1420095600.0,34.42583,2.98011,34.71188,39.28132,4.2,2.0,2.2,6.0,6.7,-0.7,211.4,9.0,7.9,9.2,12.1,,Aberdeen,1
1420099200.0,58.17466,1.58376,15.29092,17.71931,6.9,6.5,0.4,7.7,5.8,1.9,204.9,7.7,8.0,9.5,12.5,,Aberdeen,1
1420102800.0,68.45251,0.4562,6.30264,7.00214,3.4,1.0,2.4,9.2,1.8,7.4,200.3,7.3,8.2,9.6,12.6,996399.0,Aberdeen,1
1420106400.0,60.32003,1.18151,13.94356,15.75518,2.2,-0.2,2.4,8.3,4.2,4.1,205.8,7.0,8.3,8.9,11.9,995067.0,Aberdeen,1
1420110000.0,55.08132,1.79923,21.06571,23.82449,13.7,6.7,7.0,9.0,4.0,5.0,211.2,5.8,7.8,8.6,11.6,993149.0,Aberdeen,1
1420113600.0,68.45251,1.74529,17.00738,19.68345,16.3,7.4,8.9,9.9,2.4,7.5,217.5,5.8,8.4,8.5,11.6,990617.0,Aberdeen,1
1420117200.0,62.91444,0.91302,10.08509,11.48504,6.6,5.4,1.2,1.6,-1.9,3.5,213.2,6.3,8.9,9.4,12.4,988449.0,Aberdeen,1
1420120800.0,43.50626,3.73192,28.43553,34.15773,2.1,-1.1,3.2,7.7,2.0,5.7,203.2,5.7,9.1,10.3,13.3,986869.0,Aberdeen,1
1420124400.0,56.92734,0.80576,10.46329,11.69876,3.3,-0.5,3.8,5.0,3.2,1.8,193.5,5.8,8.5,11.4,14.4,985182.0,Aberdeen,1
1420128000.0,59.57165,0.83257,6.36671,7.64331,0.7,-1.2,1.9,2.9,0.6,2.3,208.8,7.2,9.3,11.9,14.9,984050.0,Aberdeen,1
1420131600.0,61.16821,1.39635,8.91703,11.05808,0.4,-1.3,1.7,6.0,-0.2,6.2,208.8,7.0,9.7,12.0,15.1,983000.0,Aberdeen,1
1420135200.0,53.13551,1.02029,9.92109,11.48552,1.0,-3.3,4.3,5.3,1.9,3.4,227.3,10.2,11.0,11.9,14.9,982199.0,Aberdeen,1
1420138800.0,54.08347,0.96666,10.04588,11.52807,,,,5.2,1.4,3.8,229.1,12.5,11.6,11.8,14.8,981399.0,Aberdeen,1
1420142400.0,51.98799,0.85908,10.8936,12.21083,,,,6.4,1.6,4.8,245.2,12.1,11.6,11.8,14.8,981000.0,Aberdeen,1
1420146000.0,62.71487,0.53696,6.39253,7.21586,2.6,-1.8,4.4,3.7,1.8,1.9,247.9,14.2,10.6,10.7,13.7,982000.0,Aberdeen,1
1420149600.0,63.8624,0.53696,8.99688,9.82021,-2.1,-3.4,1.3,4.4,0.6,3.8,264.8,14.0,8.6,9.5,12.5,982832.0,Aberdeen,1
1420153200.0,72.69337,0.4562,5.70547,6.40496,0.7,-0.1,0.8,5.0,3.0,2.0,267.0,13.5,7.1,8.5,11.5,984566.0,Aberdeen,1
1420156800.0,86.6799,0.25029,2.69726,3.08104,5.3,3.0,2.3,0.7,-0.3,1.0,277.2,9.0,5.3,7.0,10.0,986249.0,Aberdeen,1
1420160400.0,95.99317,0.42949,3.05044,3.70898,-2.0,0.7,-2.7,3.8,1.3,2.5,286.8,11.0,4.6,6.3,9.3,988199.0,Aberdeen,1
1420164000.0,86.61338,0.34862,1.90485,2.43939,0.4,2.4,-2.0,4.4,3.1,1.3,284.3,9.5,3.8,5.0,7.9,989782.0,Aberdeen,1
1420167600.0,73.99058,0.34862,3.95888,4.49342,4.8,1.3,3.5,1.2,1.6,-0.4,275.3,9.7,3.6,4.2,7.0,990532.0,Aberdeen,1
1420171200.0,75.08821,0.61741,3.33253,4.27922,2.3,2.8,-0.5,5.0,3.4,1.6,264.9,9.3,3.3,4.1,6.9,991417.0,Aberdeen,1
1420174800.0,69.89939,6.49719,11.56298,21.52519,-1.6,-0.3,-1.3,2.0,2.5,-0.5,262.4,8.9,3.5,4.4,7.2,992250.0,Aberdeen,1
1420178400.0,65.05982,5.58416,11.8924,20.45467,-1.5,0.5,-2.0,0.9,2.5,-1.6,264.2,8.9,3.5,4.4,7.2,993367.0,Aberdeen,1
1420182000.0,66.35703,3.81268,12.16924,18.01527,-1.4,1.3,-2.7,2.8,4.2,-1.4,273.8,10.0,3.6,4.5,7.3,994566.0,Aberdeen,1
1420185600.0,76.68477,1.61058,5.66052,8.13004,2.8,5.4,-2.6,2.1,4.0,-1.9,276.1,9.8,3.9,3.7,6.5,996482.0,Aberdeen,1
1420189200.0,65.40907,2.25512,9.67964,13.13744,11.2,9.0,2.2,0.5,1.7,-1.2,279.9,10.6,4.0,3.6,6.4,997217.0,Aberdeen,1
1420192800.0,69.89939,2.60405,9.78626,13.77908,3.1,5.7,-2.6,3.0,4.4,-1.4,276.2,10.4,4.1,5.0,7.8,998449.0,Aberdeen,1
1420196400.0,68.10326,1.74497,9.86276,12.53835,9.8,12.7,-2.9,3.0,6.4,-3.4,280.3,9.7,4.3,5.4,8.2,999800.0,Aberdeen,1
1420200000.0,66.60649,2.41602,11.10206,14.80658,3.6,7.9,-4.3,7.1,7.4,-0.3,281.0,10.5,4.2,6.4,9.3,1000770.0,Aberdeen,1
1420203600.0,77.58284,2.60405,8.11761,12.11043,0.2,0.4,-0.2,5.6,3.1,2.5,286.5,11.3,3.8,5.7,8.4,1001530.0,Aberdeen,1
1420207200.0,76.93424,2.01377,8.98014,12.06788,2.3,4.8,-2.5,2.4,2.1,0.3,278.5,9.6,3.2,4.9,7.7,1002050.0,Aberdeen,1
1420210800.0,73.44176,2.3627,10.88404,14.50679,6.8,7.4,-0.6,5.3,4.8,0.5,269.0,8.6,2.7,3.4,6.2,1003270.0,Aberdeen,1
