date,PM10,PM2.5,PM1,TSP,wd,ws,temp,site,code
1262304000.0,12.0,5.0,2.0,11.0,,,,Anglesey Brynteg,1
1262307600.0,9.0,3.0,1.0,8.0,,,,Anglesey Brynteg,1
1262311200.0,8.0,3.0,0.0,7.0,,,,Anglesey Brynteg,1
1262314800.0,7.0,2.0,0.0,6.0,,,,Anglesey Brynteg,1
1262318400.0,8.0,2.0,0.0,6.0,,,,Anglesey Brynteg,1
1262322000.0,8.0,2.0,0.0,7.0,,,,Anglesey Brynteg,1
1262325600.0,8.0,2.0,0.0,7.0,,,,Anglesey Brynteg,1
1262329200.0,8.0,2.0,1.0,8.0,,,,Anglesey Brynteg,1
1262332800.0,9.0,3.0,0.0,10.0,,,,Anglesey Brynteg,1
1262336400.0,9.0,2.0,0.0,9.0,,,,Anglesey Brynteg,1
1262340000.0,7.0,2.0,0.0,7.0,,,,Anglesey Brynteg,1
1262343600.0,7.0,2.0,0.0,6.0,,,,Anglesey Brynteg,1
1262347200.0,8.0,2.0,0.0,8.0,,,,Anglesey Brynteg,1
1262350800.0,9.0,3.0,1.0,9.0,,,,Anglesey Brynteg,1
1262354400.0,7.0,2.0,1.0,6.0,,,,Anglesey Brynteg,1
1262358000.0,8.0,2.0,0.0,8.0,,,,Anglesey Brynteg,1
1262361600.0,9.0,3.0,1.0,8.0,,,,Anglesey Brynteg,1
1262365200.0,8.0,2.0,0.0,7.0,,,,Anglesey Brynteg,1
1262368800.0,8.0,3.0,0.0,7.0,,,,Anglesey Brynteg,1
1262372400.0,8.0,3.0,0.0,8.0,,,,Anglesey Brynteg,1
1262376000.0,9.0,3.0,1.0,9.0,,,,Anglesey Brynteg,1
1262379600.0,10.0,3.0,1.0,9.0,,,,Anglesey Brynteg,1
1262383200.0,12.0,4.0,1.0,11.0,,,,Anglesey Brynteg,1
1262386800.0,17.0,5.0,1.0,16.0,,,,Anglesey Brynteg,1
1262390400.0,16.0,5.0,1.0,15.0,,,,Anglesey Brynteg,1
1262394000.0,14.0,4.0,1.0,13.0,,,,Anglesey Brynteg,1
1262397600.0,12.0,3.0,1.0,10.0,,,,Anglesey Brynteg,1
1262401200.0,13.0,4.0,1.0,12.0,,,,Anglesey Brynteg,1
1262404800.0,10.0,3.0,1.0,10.0,,,,Anglesey Brynteg,1
1262408400.0,10.0,3.0,1.0,10.0,,,,Anglesey Brynteg,1
1262412000.0,13.0,4.0,1.0,12.0,,,,Anglesey Brynteg,1
1262415600.0,14.0,6.0,2.0,12.0,,,,Anglesey Brynteg,1
1262419200.0,16.0,6.0,1.0,13.0,,,,Anglesey Brynteg,1
1262422800.0,18.0,7.0,1.0,15.0,,,,Anglesey Brynteg,1
1262426400.0,13.0,6.0,1.0,12.0,,,,Anglesey Brynteg,1
1262430000.0,10.0,6.0,1.0,9.0,,,,Anglesey Brynteg,1
1262433600.0,10.0,6.0,1.0,9.0,,,,Anglesey Brynteg,1
1262437200.0,13.0,6.0,1.0,10.0,,,,Anglesey Brynteg,1
1262440800.0,13.0,5.0,1.0,11.0,,,,Anglesey Brynteg,1
1262444400.0,17.0,3.0,1.0,16.0,,,,Anglesey Brynteg,1
1262448000.0,21.0,3.0,1.0,21.0,,,,Anglesey Brynteg,1
1262451600.0,8.0,2.0,1.0,6.0,,,,Anglesey Brynteg,1
1262455200.0,7.0,4.0,1.0,6.0,,,,Anglesey Brynteg,1
1262458800.0,7.0,3.0,1.0,6.0,,,,Anglesey Brynteg,1
1262462400.0,7.0,3.0,1.0,5.0,,,,Anglesey Brynteg,1
1262466000.0,9.0,4.0,1.0,7.0,,,,Anglesey Brynteg,1
1262469600.0,9.0,5.0,1.0,8.0,,,,Anglesey Brynteg,1
1262473200.0,13.0,6.0,1.0,10.0,,,,Anglesey Brynteg,1
