date,PM10,site,code
1554076800.0,9.76,Strathfoyle Bawnmore Place,1
1554080400.0,8.3,Strathfoyle Bawnmore Place,1
1554084000.0,12.21,Strathfoyle Bawnmore Place,1
1554087600.0,13.39,Strathfoyle Bawnmore Place,1
1554091200.0,15.89,Strathfoyle Bawnmore Place,1
1554094800.0,19.57,Strathfoyle Bawnmore Place,1
1554098400.0,20.82,Strathfoyle Bawnmore Place,1
1554102000.0,21.08,Strathfoyle Bawnmore Place,1
1554105600.0,21.34,Strathfoyle Bawnmore Place,1
1554109200.0,22.02,Strathfoyle Bawnmore Place,1
1554112800.0,23.51,Strathfoyle Bawnmore Place,1
1554116400.0,19.25,Strathfoyle Bawnmore Place,1
1554120000.0,16.81,Strathfoyle Bawnmore Place,1
1554123600.0,17.82,Strathfoyle Bawnmore Place,1
1554127200.0,12.1,Strathfoyle Bawnmore Place,1
1554130800.0,13.61,Strathfoyle Bawnmore Place,1
1554134400.0,13.56,Strathfoyle Bawnmore Place,1
1554138000.0,11.69,Strathfoyle Bawnmore Place,1
1554141600.0,11.17,Strathfoyle Bawnmore Place,1
1554145200.0,21.32,Strathfoyle Bawnmore Place,1
1554148800.0,8.42,Strathfoyle Bawnmore Place,1
1554152400.0,5.6,Strathfoyle Bawnmore Place,1
1554156000.0,3.32,Strathfoyle Bawnmore Place,1
1554159600.0,23.32,Strathfoyle Bawnmore Place,1
1554163200.0,9.65,Strathfoyle Bawnmore Place,1
1554166800.0,8.48,Strathfoyle Bawnmore Place,1
1554170400.0,4.17,Strathfoyle Bawnmore Place,1
1554174000.0,2.88,Strathfoyle Bawnmore Place,1
1554177600.0,7.74,Strathfoyle Bawnmore Place,1
1554181200.0,3.83,Strathfoyle Bawnmore Place,1
1554184800.0,2.53,Strathfoyle Bawnmore Place,1
1554188400.0,0.08,Strathfoyle Bawnmore Place,1
1554192000.0,0.45,Strathfoyle Bawnmore Place,1
1554195600.0,1.01,Strathfoyle Bawnmore Place,1
1554199200.0,0.83,Strathfoyle Bawnmore Place,1
1554202800.0,4.37,Strathfoyle Bawnmore Place,1
1554206400.0,12.71,Strathfoyle Bawnmore Place,1
1554210000.0,3.58,Strathfoyle Bawnmore Place,1
1554213600.0,11.36,Strathfoyle Bawnmore Place,1
1554217200.0,3.28,Strathfoyle Bawnmore Place,1
1554220800.0,5.42,Strathfoyle Bawnmore Place,1
1554224400.0,17.18,Strathfoyle Bawnmore Place,1
1554228000.0,8.66,Strathfoyle Bawnmore Place,1
1554231600.0,6.98,Strathfoyle Bawnmore Place,1
1554235200.0,7.58,Strathfoyle Bawnmore Place,1
1554238800.0,12.95,Strathfoyle Bawnmore Place,1
1554242400.0,6.99,Strathfoyle Bawnmore Place,1
1554246000.0,9.23,Strathfoyle Bawnmore Place,1
1554249600.0,8.8,Strathfoyle Bawnmore Place,1
1554253200.0,6.65,Strathfoyle Bawnmore Place,1
1554256800.0,14.79,Strathfoyle Bawnmore Place,1
1554260400.0,11.81,Strathfoyle Bawnmore Place,1
1554264000.0,12.18,Strathfoyle Bawnmore Place,1
1554267600.0,26.03,Strathfoyle Bawnmore Place,1
1554271200.0,8.72,Strathfoyle Bawnmore Place,1
1554274800.0,-1.79,Strathfoyle Bawnmore Place,1
1554278400.0,0.83,Strathfoyle Bawnmore Place,1
1554282000.0,-0.67,Strathfoyle Bawnmore Place,1
1554285600.0,30.57,Strathfoyle Bawnmore Place,1
1554289200.0,16.34,Strathfoyle Bawnmore Place,1
1554292800.0,31.8,Strathfoyle Bawnmore Place,1
1554296400.0,10.15,Strathfoyle Bawnmore Place,1
1554300000.0,5.93,Strathfoyle Bawnmore Place,1
1554303600.0,12.73,Strathfoyle Bawnmore Place,1
1554307200.0,11.19,Strathfoyle Bawnmore Place,1
1554310800.0,10.29,Strathfoyle Bawnmore Place,1
1554314400.0,7.23,Strathfoyle Bawnmore Place,1
1554318000.0,5.39,Strathfoyle Bawnmore Place,1
1554321600.0,5.42,Strathfoyle Bawnmore Place,1
1554325200.0,15.07,Strathfoyle Bawnmore Place,1
