date,NO,NO2,NOXasNO2,site,code
1420070400.0,6.2365,30.6,40.1625,York Lawrence Street,1
1420074000.0,9.9784,24.8625,40.1625,York Lawrence Street,1
1420077600.0,6.2365,24.8625,34.425,York Lawrence Street,1
1420081200.0,3.7419,17.2125,22.95,York Lawrence Street,1
1420084800.0,2.4946,11.475,15.3,York Lawrence Street,1
1420088400.0,2.4946,11.475,15.3,York Lawrence Street,1
1420092000.0,2.4946,13.3875,17.2125,York Lawrence Street,1
1420095600.0,4.9892,19.125,26.775,York Lawrence Street,1
1420099200.0,2.4946,13.3875,17.2125,York Lawrence Street,1
1420102800.0,4.9892,19.125,26.775,York Lawrence Street,1
1420106400.0,7.4838,21.0375,32.5125,York Lawrence Street,1
1420110000.0,6.2365,19.125,28.6875,York Lawrence Street,1
1420113600.0,11.2257,24.8625,42.075,York Lawrence Street,1
1420117200.0,9.9784,22.95,38.25,York Lawrence Street,1
1420120800.0,7.4838,15.3,26.775,York Lawrence Street,1
1420124400.0,4.9892,13.3875,21.0375,York Lawrence Street,1
1420128000.0,7.4838,21.0375,32.5125,York Lawrence Street,1
1420131600.0,4.9892,15.3,22.95,York Lawrence Street,1
1420135200.0,3.7419,13.3875,19.125,York Lawrence Street,1
1420138800.0,2.4946,5.7375,9.5625,York Lawrence Street,1
1420142400.0,2.4946,7.65,11.475,York Lawrence Street,1
1420146000.0,2.4946,5.7375,9.5625,York Lawrence Street,1
1420149600.0,2.4946,7.65,11.475,York Lawrence Street,1
1420153200.0,1.2473,5.7375,7.65,York Lawrence Street,1
1420156800.0,2.4946,5.7375,9.5625,York Lawrence Street,1
1420160400.0,1.2473,5.7375,7.65,York Lawrence Street,1
1420164000.0,1.2473,5.7375,7.65,York Lawrence Street,1
1420167600.0,1.2473,5.7375,7.65,York Lawrence Street,1
1420171200.0,1.2473,7.65,9.5625,York Lawrence Street,1
1420174800.0,1.2473,9.5625,11.475,York Lawrence Street,1
1420178400.0,4.9892,11.475,19.125,York Lawrence Street,1
1420182000.0,6.2365,19.125,28.6875,York Lawrence Street,1
1420185600.0,8.7311,24.8625,38.25,York Lawrence Street,1
1420189200.0,11.2257,28.6875,45.9,York Lawrence Street,1
1420192800.0,11.2257,28.6875,45.9,York Lawrence Street,1
1420196400.0,11.2257,24.8625,42.075,York Lawrence Street,1
1420200000.0,11.2257,22.95,40.1625,York Lawrence Street,1
1420203600.0,12.473,30.6,49.725,York Lawrence Street,1
1420207200.0,16.2149,30.6,55.4625,York Lawrence Street,1
1420210800.0,14.9676,30.6,53.55,York Lawrence Street,1
1420214400.0,11.2257,36.3375,53.55,York Lawrence Street,1
1420218000.0,11.2257,32.5125,49.725,York Lawrence Street,1
1420221600.0,11.2257,34.425,51.6375,York Lawrence Street,1
1420225200.0,31.1825,55.4625,103.275,York Lawrence Street,1
1420228800.0,8.7311,30.6,43.9875,York Lawrence Street,1
1420232400.0,3.7419,22.95,28.6875,York Lawrence Street,1
1420236000.0,2.4946,26.775,30.6,York Lawrence Street,1
1420239600.0,2.4946,21.0375,24.8625,York Lawrence Street,1
1420243200.0,3.7419,17.2125,22.95,York Lawrence Street,1
1420246800.0,14.9676,26.775,49.725,York Lawrence Street,1
1420250400.0,4.9892,15.3,22.95,York Lawrence Street,1
1420254000.0,1.2473,11.475,13.3875,York Lawrence Street,1
1420257600.0,2.4946,11.475,15.3,York Lawrence Street,1
1420261200.0,2.4946,15.3,19.125,York Lawrence Street,1
