site_id,site_name,location_type,latitude,longitude,parameter,Parameter_name,start_date,end_date,ratified_to,zone,agglomeration,local_authority
AIY008,"1st Charlton Scouts, Shepperton (sensor)",Urban Background,51.4062,-0.443486,NO2,Nitrogen dioxide,2023-11-14,ongoing,2023-12-31,South East,NA_character_,Spelthorne
AIY008,"1st Charlton Scouts, Shepperton (sensor)",Urban Background,51.4062,-0.443486,PM10,PM10 particulate matter (Hourly measured),2023-11-14,ongoing,2023-12-31,South East,NA_character_,Spelthorne
AIY008,"1st Charlton Scouts, Shepperton (sensor)",Urban Background,51.4062,-0.443486,PM2.5,PM2.5 particulate matter (Hourly measured),2023-11-14,ongoing,2023-12-31,South East,NA_character_,Spelthorne
AIY007,"1st Sunbury Scouts, Sunbury (sensor)",Urban Background,51.4069,-0.417956,NO2,Nitrogen dioxide,2023-11-14,ongoing,2023-12-22,Greater London,Greater London Urban Area,Spelthorne
AIY007,"1st Sunbury Scouts, Sunbury (sensor)",Urban Background,51.4069,-0.417956,PM10,PM10 particulate matter (Hourly measured),2023-11-14,ongoing,2023-12-22,Greater London,Greater London Urban Area,Spelthorne
AIY007,"1st Sunbury Scouts, Sunbury (sensor)",Urban Background,51.4069,-0.417956,PM2.5,PM2.5 particulate matter (Hourly measured),2023-11-14,ongoing,2023-12-22,Greater London,Greater London Urban Area,Spelthorne
AYL9,Aylesbury Bicester Road,Urban Traffic,51.824336,-0.831856,NO,Nitric oxide,2007-10-04,2010-03-18,2009-12-31,South East,NA_character_,Aylesbury Vale
AYL9,Aylesbury Bicester Road,Urban Traffic,51.824336,-0.831856,NO2,Nitrogen dioxide,2007-10-04,2010-03-18,2009-12-31,South East,NA_character_,Aylesbury Vale
AYL9,Aylesbury Bicester Road,Urban Traffic,51.824336,-0.831856,NOXasNO2,Nitrogen oxides as nitrogen dioxide,2007-10-04,2010-03-18,2009-12-31,South East,NA_character_,Aylesbury Vale
AYL7,Aylesbury Friarage Road 2,Urban Traffic,51.816897,-0.818442,NO,Nitric oxide,2010-07-06,2013-12-18,2013-12-18,South East,NA_character_,Aylesbury Vale
AYL7,Aylesbury Friarage Road 2,Urban Traffic,51.816897,-0.818442,NO2,Nitrogen dioxide,2010-07-06,2013-12-18,2013-12-18,South East,NA_character_,Aylesbury Vale
AYL7,Aylesbury Friarage Road 2,Urban Traffic,51.816897,-0.818442,NOXasNO2,Nitrogen oxides as nitrogen dioxide,2010-07-06,2013-12-18,2013-12-18,South East,NA_character_,Aylesbury Vale
AYL8,Aylesbury Stoke Road A413,Urban Traffic,51.810183,-0.806675,NO,Nitric oxide,2006-03-02,2014-05-14,2014-05-14,South East,NA_character_,Aylesbury Vale
AYL8,Aylesbury Stoke Road A413,Urban Traffic,51.810183,-0.806675,NO2,Nitrogen dioxide,2006-03-02,2014-05-14,2014-05-14,South East,NA_character_,Aylesbury Vale
AYL8,Aylesbury Stoke Road A413,Urban Traffic,51.810183,-0.806675,NOXasNO2,Nitrogen oxides as nitrogen dioxide,2006-03-02,2014-05-14,2014-05-14,South East,NA_character_,Aylesbury Vale
AYT0,Aylesbury Tring Road 2,Urban Traffic,51.814165,-0.786939,NO,Nitric oxide,2013-12-18,2016-01-31,2016-01-31,South East,NA_character_,Aylesbury Vale
AYT0,Aylesbury Tring Road 2,Urban Traffic,51.814165,-0.786939,NO2,Nitrogen dioxide,2013-12-18,2016-01-31,2016-01-31,South East,NA_character_,Aylesbury Vale
AYT0,Aylesbury Tring Road 2,Urban Traffic,51.814165,-0.786939,NOXasNO2,Nitrogen oxides as nitrogen dioxide,2013-12-18,2016-01-31,2016-01-31,South East,NA_character_,Aylesbury Vale
AYLW,Aylesbury Waddesdon,Urban Traffic,51.845601,-0.926102,NO,Nitric oxide,2012-06-25,2013-02-14,2013-02-14,South East,NA_character_,Aylesbury Vale
