site_id,site_name,location_type,latitude,longitude,parameter,Parameter_name,start_date,end_date,ratified_to,zone,agglomeration,local_authority
ANT1,Antrim Greystone Estate,Urban Background,54.7099,-6.188552,SO2,Sulphur dioxide,2004-11-25,2010-06-18,2010-06-18,Northern Ireland,NA_character_,Antrim and Newtownabbey
ARDS,Ards Glen community centre,Urban Background,54.599072,-5.699291,SO2,Sulphur dioxide,2003-03-01,2006-04-10,2006-03-15,Northern Ireland,NA_character_,Ards and North Down
ARDS,Ards Glen community centre,Urban Background,54.599072,-5.699291,PM10,PM10 particulate matter (Hourly measured),2003-03-01,2006-04-10,2006-03-15,Northern Ireland,NA_character_,Ards and North Down
ARD2,Ards Leisure Centre,Urban Background,54.597019,-5.703319,SO2,Sulphur dioxide,2006-04-11,2010-04-06,2010-04-06,Northern Ireland,NA_character_,Ards and North Down
ARD2,Ards Leisure Centre,Urban Background,54.597019,-5.703319,PM10,PM10 particulate matter (Hourly measured),2006-04-11,2011-10-25,2011-10-25,Northern Ireland,NA_character_,Ards and North Down
ARM2,Armagh,unknown unknown,54.34214,-6.65771,PM10,PM10 particulate matter (Hourly measured),1999-01-01,1999-12-31,1999-12-31,Northern Ireland,NA_character_,"Armagh, Banbridge and Craigavon"
ARM4,Armagh Dobbin Street,Urban Background,54.353345,-6.651961,SO2,Sulphur dioxide,2003-02-18,2005-03-17,2005-03-17,Northern Ireland,NA_character_,"Armagh, Banbridge and Craigavon"
ARM5,Armagh Lonsdale Road,Urban Traffic,54.353728,-6.654558,NO,Nitric oxide,2005-01-01,ongoing,2024-03-31,Northern Ireland,NA_character_,"Armagh, Banbridge and Craigavon"
ARM5,Armagh Lonsdale Road,Urban Traffic,54.353728,-6.654558,NO2,Nitrogen dioxide,2005-01-01,ongoing,2024-03-31,Northern Ireland,NA_character_,"Armagh, Banbridge and Craigavon"
ARM5,Armagh Lonsdale Road,Urban Traffic,54.353728,-6.654558,NOXasNO2,Nitrogen oxides as nitrogen dioxide,2005-01-01,ongoing,2024-03-31,Northern Ireland,NA_character_,"Armagh, Banbridge and Craigavon"
