site_id,site_name,location_type,latitude,longitude,parameter,Parameter_name,start_date,end_date,ratified_to,zone,agglomeration,local_authority
ABD1,Aberdeen Anderson Dr,Urban Traffic,57.128567,-2.125447,NO,Nitric oxide,2005-01-01,ongoing,2023-12-31,North East Scotland,NA_character_,Aberdeen City
ABD1,Aberdeen Anderson Dr,Urban Traffic,57.128567,-2.125447,NO2,Nitrogen dioxide,2005-01-01,ongoing,2023-12-31,North East Scotland,NA_character_,Aberdeen City
ABD1,Aberdeen Anderson Dr,Urban Traffic,57.128567,-2.125447,NOXasNO2,Nitrogen oxides as nitrogen dioxide,2005-01-01,ongoing,2023-12-31,North East Scotland,NA_character_,Aberdeen City
ABD1,Aberdeen Anderson Dr,Urban Traffic,57.128567,-2.125447,PM10,PM10 particulate matter (Hourly measured),2005-01-01,ongoing,2024-03-31,North East Scotland,NA_character_,Aberdeen City
ABD1,Aberdeen Anderson Dr,Urban Traffic,57.128567,-2.125447,PM2.5,PM2.5 particulate matter (Hourly measured),2021-07-20,ongoing,2024-03-31,North East Scotland,NA_character_,Aberdeen City
ABD1,Aberdeen Anderson Dr,Urban Traffic,57.128567,-2.125447,PM1,PM1 particulate matter (Hourly measured),2021-07-20,ongoing,2024-03-31,North East Scotland,NA_character_,Aberdeen City
ABD1,Aberdeen Anderson Dr,Urban Traffic,57.128567,-2.125447,wd,Modelled Wind Direction,2010-08-01,ongoing,Never,North East Scotland,NA_character_,Aberdeen City
ABD1,Aberdeen Anderson Dr,Urban Traffic,57.128567,-2.125447,ws,Modelled Wind Speed,2010-08-01,ongoing,Never,North East Scotland,NA_character_,Aberdeen City
ABD1,Aberdeen Anderson Dr,Urban Traffic,57.128567,-2.125447,temp,Modelled Temperature,2010-08-01,ongoing,Never,North East Scotland,NA_character_,Aberdeen City
ABD,Aberdeen Errol Place,Urban Background,57.15736,-2.094278,O3,Ozone,2003-08-01,2021-09-20,2021-09-20,North East Scotland,NA_character_,Aberdeen City
ABD,Aberdeen Errol Place,Urban Background,57.15736,-2.094278,NO,Nitric oxide,1999-09-18,2021-09-20,2021-09-20,North East Scotland,NA_character_,Aberdeen City
ABD,Aberdeen Errol Place,Urban Background,57.15736,-2.094278,NO2,Nitrogen dioxide,1999-09-18,2021-09-20,2021-09-20,North East Scotland,NA_character_,Aberdeen City
ABD,Aberdeen Errol Place,Urban Background,57.15736,-2.094278,NOXasNO2,Nitrogen oxides as nitrogen dioxide,1999-09-18,2021-09-20,2021-09-20,North East Scotland,NA_character_,Aberdeen City
ABD,Aberdeen Errol Place,Urban Background,57.15736,-2.094278,SO2,Sulphur dioxide,2001-01-01,2007-12-31,2007-12-31,North East Scotland,NA_character_,Aberdeen City
ABD,Aberdeen Errol Place,Urban Background,57.15736,-2.094278,CO,Carbon monoxide,1999-09-18,2007-12-31,2007-12-31,North East Scotland,NA_character_,Aberdeen City
ABD,Aberdeen Errol Place,Urban Background,57.15736,-2.094278,PM10,PM10 particulate matter (Hourly measured),1999-09-18,2021-09-20,2021-09-20,North East Scotland,NA_character_,Aberdeen City
ABD,Aberdeen Errol Place,Urban Background,57.15736,-2.094278,NV10,Non-volatile PM10 (Hourly measured),2009-02-20,2019-11-07,2019-11-07,North East Scotland,NA_character_,Aberdeen City
ABD,Aberdeen Errol Place,Urban Background,57.15736,-2.094278,V10,Volatile PM10 (Hourly measured),2009-02-20,2019-11-07,2019-11-07,North East Scotland,NA_character_,Aberdeen City
ABD,Aberdeen Errol Place,Urban Background,57.15736,-2.094278,PM2.5,PM2.5 particulate matter (Hourly measured),2009-02-20,2021-09-20,2021-09-20,North East Scotland,NA_character_,Aberdeen City
ABD,Aberdeen Errol Place,Urban Background,57.15736,-2.094278,NV2.5,Non-volatile PM2.5 (Hourly measured),2009-02-20,2019-11-07,2019-11-07,North East Scotland,NA_character_,Aberdeen City
ABD,Aberdeen Errol Place,Urban Background,57.15736,-2.094278,V2.5,Volatile PM2.5 (Hourly measured),2009-02-20,2019-11-07,2019-11-07,North East Scotland,NA_character_,Aberdeen City
ABD,Aberdeen Errol Place,Urban Background,57.15736,-2.094278,wd,Modelled Wind Direction,2010-08-01,2021-09-20,Never,North East Scotland,NA_character_,Aberdeen City
ABD,Aberdeen Errol Place,Urban Background,57.15736,-2.094278,ws,Modelled Wind Speed,2010-08-01,2021-09-20,Never,North East Scotland,NA_character_,Aberdeen City
ABD,Aberdeen Errol Place,Urban Background,57.15736,-2.094278,temp,Modelled Temperature,2010-08-01,2021-09-20,Never,North East Scotland,NA_character_,Aberdeen City
ABD9,Aberdeen Erroll Park,Urban Background,57.1574,-2.09477,O3,Ozone,2021-10-01,ongoing,2024-03-31,North East Scotland,NA_character_,Aberdeen City
ABD9,Aberdeen Erroll Park,Urban Background,57.1574,-2.09477,NO,Nitric oxide,2021-10-01,ongoing,2024-03-31,North East Scotland,NA_character_,Aberdeen City
ABD9,Aberdeen Erroll Park,Urban Background,57.1574,-2.09477,NO2,Nitrogen dioxide,2021-10-01,ongoing,2024-03-31,North East Scotland,NA_character_,Aberdeen City
ABD9,Aberdeen Erroll Park,Urban Background,57.1574,-2.09477,NOXasNO2,Nitrogen oxides as nitrogen dioxide,2021-10-01,ongoing,2024-03-31,North East Scotland,NA_character_,Aberdeen City
ABD9,Aberdeen Erroll Park,Urban Background,57.1574,-2.09477,PM10,PM10 particulate matter (Hourly measured),2021-10-01,ongoing,2024-03-31,North East Scotland,NA_character_,Aberdeen City
ABD9,Aberdeen Erroll Park,Urban Background,57.1574,-2.09477,PM2.5,PM2.5 particulate matter (Hourly measured),2021-10-01,ongoing,2024-03-31,North East Scotland,NA_character_,Aberdeen City
ABD9,Aberdeen Erroll Park,Urban Background,57.1574,-2.09477,wd,Modelled Wind Direction,2021-10-01,ongoing,Never,North East Scotland,NA_character_,Aberdeen City
ABD9,Aberdeen Erroll Park,Urban Background,57.1574,-2.09477,ws,Modelled Wind Speed,2021-10-01,ongoing,Never,North East Scotland,NA_character_,Aberdeen City
ABD9,Aberdeen Erroll Park,Urban Background,57.1574,-2.09477,temp,Modelled Temperature,2021-10-01,ongoing,Never,North East Scotland,NA_character_,Aberdeen City
AD1,Aberdeen King Street,Urban Traffic,57.169738,-2.095348,NO,Nitric oxide,2008-11-25,ongoing,2024-03-31,North East Scotland,NA_character_,Aberdeen City
AD1,Aberdeen King Street,Urban Traffic,57.169738,-2.095348,NO2,Nitrogen dioxide,2008-11-25,ongoing,2024-03-31,North East Scotland,NA_character_,Aberdeen City
AD1,Aberdeen King Street,Urban Traffic,57.169738,-2.095348,NOXasNO2,Nitrogen oxides as nitrogen dioxide,2008-11-25,ongoing,2024-03-31,North East Scotland,NA_character_,Aberdeen City
AD1,Aberdeen King Street,Urban Traffic,57.169738,-2.095348,PM10,PM10 particulate matter (Hourly measured),2008-11-25,ongoing,2024-03-31,North East Scotland,NA_character_,Aberdeen City
AD1,Aberdeen King Street,Urban Traffic,57.169738,-2.095348,PM2.5,PM2.5 particulate matter (Hourly measured),2017-06-22,ongoing,2024-03-31,North East Scotland,NA_character_,Aberdeen City
AD1,Aberdeen King Street,Urban Traffic,57.169738,-2.095348,PM1,PM1 particulate matter (Hourly measured),2017-06-22,ongoing,2024-03-31,North East Scotland,NA_character_,Aberdeen City
AD1,Aberdeen King Street,Urban Traffic,57.169738,-2.095348,wd,Modelled Wind Direction,2010-08-01,ongoing,Never,North East Scotland,NA_character_,Aberdeen City
