site_id,site_name,location_type,latitude,longitude,parameter,Parameter_name,start_date,end_date,ratified_to,zone,agglomeration,local_authority
ANG5,Anglesey Brynteg,Rural Industrial,53.307155,-4.274216,PM10,Particulates < 10um (hourly measured),2007-08-01,2022-12-31,2022-12-31,North Wales,NA_character_,Isle of Anglesey
ANG5,Anglesey Brynteg,Rural Industrial,53.307155,-4.274216,PM2.5,Particulates < 2.5um (hourly measured),2007-08-01,2022-12-31,2022-12-31,North Wales,NA_character_,Isle of Anglesey
ANG5,Anglesey Brynteg,Rural Industrial,53.307155,-4.274216,PM1,Particulates < 1um (hourly measured),2007-08-01,2022-12-31,2022-12-31,North Wales,NA_character_,Isle of Anglesey
ANG5,Anglesey Brynteg,Rural Industrial,53.307155,-4.274216,TSP,Total Suspended Particulate,2007-08-01,2022-12-31,2022-12-31,North Wales,NA_character_,Isle of Anglesey
ANG5,Anglesey Brynteg,Rural Industrial,53.307155,-4.274216,wd,Modelled Wind Direction,2010-08-01,2022-12-31,Never,North Wales,NA_character_,Isle of Anglesey
ANG5,Anglesey Brynteg,Rural Industrial,53.307155,-4.274216,ws,Modelled Wind Speed,2010-08-01,2022-12-31,Never,North Wales,NA_character_,Isle of Anglesey
ANG5,Anglesey Brynteg,Rural Industrial,53.307155,-4.274216,temp,Modelled Temperature,2010-08-01,2022-12-31,Never,North Wales,NA_character_,Isle of Anglesey
ANG4,Anglesey Coastal Park,Urban Industrial,53.301849,-4.591933,SO2,Sulphur dioxide,2007-06-29,2008-11-27,2008-11-27,North Wales,NA_character_,Isle of Anglesey
AN10,Anglesey Felin Cafnan,Rural Background,53.410479,-4.493642,PM10,Particulates < 10um (hourly measured),2015-12-16,2019-04-29,2019-04-29,North Wales,NA_character_,Isle of Anglesey
AN10,Anglesey Felin Cafnan,Rural Background,53.410479,-4.493642,PM2.5,Particulates < 2.5um (hourly measured),2015-12-16,2019-04-29,2019-04-29,North Wales,NA_character_,Isle of Anglesey
AN10,Anglesey Felin Cafnan,Rural Background,53.410479,-4.493642,PM1,Particulates < 1um (hourly measured),2015-12-16,2019-04-29,2019-04-29,North Wales,NA_character_,Isle of Anglesey
AN10,Anglesey Felin Cafnan,Rural Background,53.410479,-4.493642,TSP,Total Suspended Particulate,2015-12-16,2019-04-29,2019-04-29,North Wales,NA_character_,Isle of Anglesey
ANG6,Anglesey Holyhead,unknown unknown,53.308628,-4.632577,SO2,Sulphur dioxide,2009-05-08,2010-05-11,2010-05-11,North Wales,NA_character_,Isle of Anglesey
ANG2,Anglesey Llynfaes,Rural Industrial,53.290642,-4.406563,PM10,Particulates < 10um (hourly measured),2004-04-06,2022-03-16,2022-03-16,North Wales,NA_character_,Isle of Anglesey
ANG2,Anglesey Llynfaes,Rural Industrial,53.290642,-4.406563,PM2.5,Particulates < 2.5um (hourly measured),2004-04-06,2022-03-16,2022-03-16,North Wales,NA_character_,Isle of Anglesey
ANG2,Anglesey Llynfaes,Rural Industrial,53.290642,-4.406563,PM1,Particulates < 1um (hourly measured),2004-04-06,2022-03-16,2022-03-16,North Wales,NA_character_,Isle of Anglesey
ANG2,Anglesey Llynfaes,Rural Industrial,53.290642,-4.406563,TSP,Total Suspended Particulate,2004-04-06,2022-03-16,2022-03-16,North Wales,NA_character_,Isle of Anglesey
ANG2,Anglesey Llynfaes,Rural Industrial,53.290642,-4.406563,wd,Modelled Wind Direction,2010-08-01,2022-03-16,Never,North Wales,NA_character_,Isle of Anglesey
ANG2,Anglesey Llynfaes,Rural Industrial,53.290642,-4.406563,ws,Modelled Wind Speed,2010-08-01,2022-03-16,Never,North Wales,NA_character_,Isle of Anglesey
ANG2,Anglesey Llynfaes,Rural Industrial,53.290642,-4.406563,temp,Modelled Temperature,2010-08-01,2022-03-16,Never,North Wales,NA_character_,Isle of Anglesey
ANG7,Anglesey Penhesgyn,Rural Background,53.244542,-4.200089,PM10,Particulates < 10um (hourly measured),2011-10-07,2012-11-01,2012-11-01,North Wales,NA_character_,Isle of Anglesey
ANG7,Anglesey Penhesgyn,Rural Background,53.244542,-4.200089,PM2.5,Particulates < 2.5um (hourly measured),2011-10-07,2012-11-01,2012-11-01,North Wales,NA_character_,Isle of Anglesey
ANG7,Anglesey Penhesgyn,Rural Background,53.244542,-4.200089,PM1,Particulates < 1um (hourly measured),2011-10-07,2012-11-01,2012-11-01,North Wales,NA_character_,Isle of Anglesey
